Matricula;Nome
EF8080801;Marcos Gomes
EF8080802;Jéssica Lima
EF8080803;Felipe Alves
EF8080804;Cíntia Pereira
EF8080805;Lucas Santos
EF8080806;Isadora Nunes
EF8080807;Vinícius Almeida
EF8080808;Bruna Rocha
EF8080809;Thiago Ferreira
EF8080810;Milena Costa
EF8080811;Eduardo Lima
EF8080812;Aline Figueiredo
EF8080813;Sérgio Martins
EF8080814;Daniel Ribeiro
EF8080815;Patrícia Santos
EF8080816;Larissa Almeida
EF8080817;Renan Nascimento
EF8080818;Karine Gomes
EF8080819;Juliana Costa
EF8080820;Rafael Alves
EF8080821;Cecília Nunes
