Matricula;Nome
EF5050501;Juliana Figueiredo
EF5050502;Luiz Alves
EF5050503;Fernanda Costa
EF5050504;Diego Martins
EF5050505;Cecília Lima
EF5050506;Carlos Pereira
EF5050507;Nina Santos
EF5050508;Marcos Almeida
EF5050509;Aline Ferreira
EF5050510;Gustavo Cardoso
EF5050511;Renan Nascimento
EF5050512;Tatiane Rocha
EF5050513;Eduarda Oliveira
EF5050514;Vinícius Silva
EF5050515;Roberta Gomes
EF5050516;André Santos
EF5050517;Isabela Figueiredo
EF5050518;João Almeida
EF5050519;Mariana Ribeiro
EF5050520;Lucas Nunes
EF5050521;Rodrigo Ferreira
