Matricula;Nome
EF6060601;Amanda Lima
EF6060602;Victor Santos
EF6060603;Marta Pereira
EF6060604;Bruno Nascimento
EF6060605;Jéssica Gomes
EF6060606;Felipe Costa
EF6060607;Renata Almeida
EF6060608;Daniel Cardoso
EF6060609;Luana Figueiredo
EF6060610;Marcos Silva
EF6060611;Juliana Rocha
EF6060612;Guilherme Nunes
EF6060613;André Almeida
EF6060614;Eduarda Ferreira
EF6060615;Carla Santos
EF6060616;Leandro Martins
EF6060617;Nadia Lima
EF6060618;Tatiane Pereira
EF6060619;Rafael Alves
EF6060620;Ana Clara
EF6060621;Paulo Gomes
