Matricula;Nome
EF3030301;Camila Almeida
EF3030302;Alexandre Lima
EF3030303;Juliana Pereira
EF3030304;Marcos Nascimento
EF3030305;Eduarda Cardoso
EF3030306;Luan Santos
EF3030307;Tatiane Ribeiro
EF3030308;Rafael Lima
EF3030309;Danilo Mendes
EF3030310;Cecília Figueiredo
EF3030311;Guilherme Alves
EF3030312;Bianca Rocha
EF3030313;Valter Oliveira
EF3030314;Karla Santos
EF3030315;Nicolas Ferreira
EF3030316;Julio Nunes
EF3030317;Larissa Almeida
EF3030318;Ester Cardoso
EF3030319;Paulo Gomes
EF3030320;Michele Santos
EF3030321;Rogério Costa
