Matricula;Nome
EF1010101;Ana Clara
EF1010102;Pedro Henrique
EF1010103;Clara Nunes
EF1010104;Thiago Ribeiro
EF1010105;Carla Mendes
EF1010106;Lucas Lima
EF1010107;Mariana Figueiredo
EF1010108;Gustavo Almeida
EF1010109;Isabel Santos
EF1010110;Bruno Ferreira
EF1010111;Fernanda Rocha
EF1010112;Gabriel Sousa
EF1010113;Caroline Martins
EF1010114;Rafael Almeida
EF1010115;Larissa Costa
EF1010116;Ricardo Oliveira
EF1010117;Patrícia Mendes
EF1010118;Vinícius Costa
EF1010119;Juliana Almeida
EF1010120;Fábio Santos
EF1010121;Luciana Nascimento
EF1010122;Renan Cardoso
