Matricula;Nome
EF2020201;Júlia Gomes
EF2020202;Felipe Alves
EF2020203;Sérgio Martins
EF2020204;Natália Ribeiro
EF2020205;Thiago Silva
EF2020206;Cíntia Lima
EF2020207;Alberto Mendes
EF2020208;Daniele Oliveira
EF2020209;Samuel Costa
EF2020210;Bruna Figueiredo
EF2020211;Rodrigo Santos
EF2020212;Milena Cardoso
EF2020213;André Almeida
EF2020214;Gabriela Nunes
EF2020215;César Rocha
EF2020216;Alice Pereira
EF2020217;Érika Martins
EF2020218;Henrique Oliveira
EF2020219;Tânia Santos
EF2020220;Leandro Costa
EF2020221;Nadia Ferreira
